Entity,Relationship,Value
Abnormal newborn screen (Finding) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_II),prompts,"Mucopolysaccharides Quantitative, Random, Urine test (Diagnostic Procedure)"
Results consistent with MPS II (Finding) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_II),require,"Hunter Syndrome, Full Gene Analysis (Diagnostic Procedure)"
"Positive Hunter Syndrome, Full Gene Analysis result (Finding) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_II)",necessitates,Referral to Genetics Specialist (Therapeutic or Preventive Procedure)
"Negative Hunter Syndrome, Full Gene Analysis result (Finding) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_II)",necessitates,"Multiple Sulfatase Deficiency, Leukocytes test (Diagnostic Procedure)"
"Negative Hunter Syndrome, Full Gene Analysis result (Finding) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_II)",necessitates,"Arylsulfatase A Deficiency, Leukocytes test (Diagnostic Procedure)"
"Negative Hunter Syndrome, Full Gene Analysis result (Finding) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_II)",necessitates,"Ceramidase Trihexosides and Sulfatides, Random, Urine test (Diagnostic Procedure)"
"Negative Hunter Syndrome, Full Gene Analysis result (Finding) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_II)",implies,False-positive newborn screen (Finding)
Elevated lysophosphatidylcholines (Finding) (Newborn_Screen_Follow-up_for_X-Linked_Adrenoleukodystrophy),prompts,"Fatty Acid Profile, Peroxisomal (Diagnostic Procedure)"
Elevated very long chain fatty acids (Finding) (Newborn_Screen_Follow-up_for_X-Linked_Adrenoleukodystrophy),prompts,ABCD1 Gene Panel (Diagnostic Procedure)
Disease-causing ABCD1 variant (Finding) (Newborn_Screen_Follow-up_for_X-Linked_Adrenoleukodystrophy),confirms,X-linked adrenoleukodystrophy (Disease or Syndrome)
No disease-causing ABCD1 variant (Finding) (Newborn_Screen_Follow-up_for_X-Linked_Adrenoleukodystrophy),triggers,"Plasmalogens, Blood (Diagnostic Procedure)"
No disease-causing ABCD1 variant (Finding) (Newborn_Screen_Follow-up_for_X-Linked_Adrenoleukodystrophy),triggers,"Plasmalogens, Blood Spot (Diagnostic Procedure)"
No disease-causing ABCD1 variant (Finding) (Newborn_Screen_Follow-up_for_X-Linked_Adrenoleukodystrophy),triggers,"Bile Acids for Peroxisomal Disorders, Serum (Diagnostic Procedure)"
No disease-causing ABCD1 variant (Finding) (Newborn_Screen_Follow-up_for_X-Linked_Adrenoleukodystrophy),considers,Peroxisomal Disorder Gene Panel (Diagnostic Procedure)
Normal very long chain fatty acids (Finding) (Newborn_Screen_Follow-up_for_X-Linked_Adrenoleukodystrophy),if male excludes,X-linked adrenoleukodystrophy (Disease or Syndrome)
Normal very long chain fatty acids (Finding) (Newborn_Screen_Follow-up_for_X-Linked_Adrenoleukodystrophy),if female considers,ABCD1 Gene Panel (Diagnostic Procedure)
Aminolevulinic acid synthase (Enzyme) (The_Heme_Biosynthetic_Pathway),is induced by,"drugs, chemicals, or hormones (Pharmacologic Substance)"
Aminolevulinic acid synthase (Enzyme) (The_Heme_Biosynthetic_Pathway),requires cofactor,pyridoxal 5'-phosphate (Chemical)
Deficiency of Aminolevulinic acid dehydratase (Finding) (The_Heme_Biosynthetic_Pathway),causes,Aminolevulinic acid dehydratase deficiency (ADP) (Disease or Syndrome)
Deficiency of Porphobilinogen deaminase (Finding) (The_Heme_Biosynthetic_Pathway),causes,Acute intermittent porphyria (AIP) (Disease or Syndrome)
Deficiency of Uroporphyrinogen III cosynthase (Finding) (The_Heme_Biosynthetic_Pathway),causes,Congenital erythropoietic porphyria (CEP) (Disease or Syndrome)
Deficiency of Uroporphyrinogen decarboxylase (Finding) (The_Heme_Biosynthetic_Pathway),causes,Porphyria cutanea tarda (PCT) (Disease or Syndrome)
Deficiency of Coproporphyrinogen oxidase (Finding) (The_Heme_Biosynthetic_Pathway),causes,Hereditary coproporphyria (HCP) (Disease or Syndrome)
Deficiency of Protoporphyrinogen oxidase (Finding) (The_Heme_Biosynthetic_Pathway),causes,Variegate porphyria (VP) (Disease or Syndrome)
Deficiency of Ferrochelatase (Finding) (The_Heme_Biosynthetic_Pathway),causes,Erythropoietic protoporphyria (EPP) (Disease or Syndrome)
All individuals aged 18 to 79 years (Population Group) (Testing_Algorithm_for_the_Screening_and_Diagnosis_of_Hepatitis_C),requires screening with,HCV Antibody Screen with reflex to HCV RNA (Diagnostic Procedure)
Reactive HCV antibody (Finding) (Testing_Algorithm_for_the_Screening_and_Diagnosis_of_Hepatitis_C),reflexes to,HCV RNA test (Diagnostic Procedure)
Positive HCV RNA test (Finding) (Testing_Algorithm_for_the_Screening_and_Diagnosis_of_Hepatitis_C),indicates,Active HCV infection (Disease or Syndrome)
Active HCV infection (Disease or Syndrome) (Testing_Algorithm_for_the_Screening_and_Diagnosis_of_Hepatitis_C),requires,Direct Antiviral Agent Combination (Therapeutic or Preventive Procedure)
Negative HCV RNA test (Finding) (Testing_Algorithm_for_the_Screening_and_Diagnosis_of_Hepatitis_C),requires repeat testing if abnormal liver enzyme levels persist,HCV RNA test in 1 to 2 months (Diagnostic Procedure)
Negative HCV RNA test (Finding) (Testing_Algorithm_for_the_Screening_and_Diagnosis_of_Hepatitis_C),may warrant,HCV Antibody Confirmation (Diagnostic Procedure)
Positive HCV Antibody Confirmation (Finding) (Testing_Algorithm_for_the_Screening_and_Diagnosis_of_Hepatitis_C),indicates,Past/resolved HCV infection (Disease or Syndrome)
Negative HCV Antibody Confirmation (Finding) (Testing_Algorithm_for_the_Screening_and_Diagnosis_of_Hepatitis_C),indicates,False-reactive HCV antibody (Finding)
Negative HCV antibody (Finding) (Testing_Algorithm_for_the_Screening_and_Diagnosis_of_Hepatitis_C),requires if suspect acute hepatitis C or immunocompromised,HCV RNA test (Diagnostic Procedure)
Immunocompromised status (Finding) (Testing_Algorithm_for_the_Screening_and_Diagnosis_of_Hepatitis_C),requires,HCV RNA Qualitative and Quantitative test (Diagnostic Procedure)
Positive HCV RNA in immunocompromised status (Finding) (Testing_Algorithm_for_the_Screening_and_Diagnosis_of_Hepatitis_C),indicates,Active HCV infection (Disease or Syndrome)
No HCV RNA in immunocompromised status (Finding) (Testing_Algorithm_for_the_Screening_and_Diagnosis_of_Hepatitis_C),requires repeat testing if risk factors persist,HCV RNA test in 1 to 2 months (Diagnostic Procedure)
Hemolyzed or cadaveric serum screening test (Diagnostic Procedure) (Testing_Algorithm_for_the_Screening_and_Diagnosis_of_Hepatitis_C),if reactive,HCV Antibody Confirmation test (Diagnostic Procedure)
Positive HCV Antibody Confirmation in hemolyzed/cadaveric serum (Finding) (Testing_Algorithm_for_the_Screening_and_Diagnosis_of_Hepatitis_C),indicates,Active or past/resolved HCV infection (Disease or Syndrome)
Positive HCV Antibody Confirmation in hemolyzed/cadaveric serum (Finding) (Testing_Algorithm_for_the_Screening_and_Diagnosis_of_Hepatitis_C),requires,Nonhemolyzed HCV RNA test (Diagnostic Procedure) to distinguish active from past infection
Negative HCV Antibody Confirmation in hemolyzed/cadaveric serum (Finding) (Testing_Algorithm_for_the_Screening_and_Diagnosis_of_Hepatitis_C),indicates,False-reactive HCV antibody (Finding)
Negative screening result in hemolyzed/cadaveric serum (Finding) (Testing_Algorithm_for_the_Screening_and_Diagnosis_of_Hepatitis_C),indicates,No evidence of prior HCV exposure (Finding)
Initial thyroid evaluation (Procedure) (Thyroid_Function_Ordering_Algorithm),includes option,Thyroid Function Cascade (Diagnostic Procedure)
Initial thyroid evaluation (Procedure) (Thyroid_Function_Ordering_Algorithm),includes option,TSH measurement (Diagnostic Procedure)
TSH <0.1 mIU/L (Laboratory or Test Result) (Thyroid_Function_Ordering_Algorithm),suggests,Hyperthyroidism (Disease or Syndrome)
TSH <0.1 mIU/L (Laboratory or Test Result) (Thyroid_Function_Ordering_Algorithm),indicates test,Free T4 measurement (Diagnostic Procedure)
Normal Free T4 result (Laboratory or Test Result) (Thyroid_Function_Ordering_Algorithm),indicates test,Total T3 measurement (Diagnostic Procedure)
TSH 0.1-0.2 mIU/L (Laboratory or Test Result) (Thyroid_Function_Ordering_Algorithm),indicates test,Free T4 measurement (Diagnostic Procedure)
TSH 0.3-4.2 mIU/L (Laboratory or Test Result) (Thyroid_Function_Ordering_Algorithm),does not require,Additional thyroid tests (Diagnostic Procedure)
TSH >4.2 mIU/L (Laboratory or Test Result) (Thyroid_Function_Ordering_Algorithm),suggests,Hypothyroidism (Disease or Syndrome)
TSH >4.2 mIU/L (Laboratory or Test Result) (Thyroid_Function_Ordering_Algorithm),indicates test,Free T4 measurement (Diagnostic Procedure)
TSH >4.2 mIU/L (Laboratory or Test Result) (Thyroid_Function_Ordering_Algorithm),indicates test,Thyroid peroxidase antibodies measurement (Diagnostic Procedure)
Elevated C16 +/- C18:1 acylcarnitines (Finding) (Newborn-Screen-Elevated-C16-C18-Acylcarnitine),prompts performance of,"Plasma ammonia, blood gas, glucose, electrolytes, lactate, creatinine, kidney, liver function tests, urinalysis, thyroid function tests, and quantitative acylcarnitine analyses (Diagnostic Procedure)"
Elevated C16 +/- C18:1 acylcarnitines (Finding) (Newborn-Screen-Elevated-C16-C18-Acylcarnitine),suggests possibility of,Carnitine palmitoyltransferase 2 deficiency (Disease or Syndrome)
Elevated C16 +/- C18:1 acylcarnitines (Finding) (Newborn-Screen-Elevated-C16-C18-Acylcarnitine),suggests possibility of,Carnitine-acylcarnitine translocase deficiency (Disease or Syndrome)
Suspected CPT2 deficiency or CACT deficiency (Disease or Syndrome) (Newborn-Screen-Elevated-C16-C18-Acylcarnitine),prompts ordering of,"CGPH / Custom Gene Panel, Hereditary, Next-Generation Sequencing (Diagnostic Procedure)"
Normal results (Finding) (Newborn-Screen-Elevated-C16-C18-Acylcarnitine),prompts,No further interventions (Therapeutic or Preventive Procedure)
Elevated or normal free carnitine (C0) plus elevated C0/(C16+C18) ratio (Finding) (Newborn-Screen-Elevated-C0-C16-C18),Prompts,"Plasma ammonia, blood gas, glucose, electrolytes, liver function tests (Diagnostic Procedure)"
Elevated or normal free carnitine (C0) plus elevated C0/(C16+C18) ratio (Finding) (Newborn-Screen-Elevated-C0-C16-C18),Prompts,"Carnitine, Plasma or Serum (Diagnostic Procedure)"
Elevated or normal free carnitine (C0) plus elevated C0/(C16+C18) ratio (Finding) (Newborn-Screen-Elevated-C0-C16-C18),Prompts,"Acylcarnitines, Quantitative, Plasma or Serum (Diagnostic Procedure)"
Abnormal carnitine or acylcarnitine results (Finding) (Newborn-Screen-Elevated-C0-C16-C18),Suggests,Carnitine palmitoyl transferase 1 deficiency (Disease or Syndrome)
Carnitine palmitoyl transferase 1 deficiency (Disease or Syndrome) (Newborn-Screen-Elevated-C0-C16-C18),Indicates,Consider CGPH / Custom Gene Panel (Diagnostic Procedure)
Normal follow-up test results (Finding) (Newborn-Screen-Elevated-C0-C16-C18),Indicates,Stop (Therapeutic or Preventive Procedure)
Isolated elevation of propionylcarnitine (C3) (Finding) (Newborn-Screen-Follow-up-Elevated-C3-Isolated),prompts,Plasma ammonia measurement (Diagnostic Procedure)
Isolated elevation of propionylcarnitine (C3) (Finding) (Newborn-Screen-Follow-up-Elevated-C3-Isolated),prompts,Blood gas analysis (Diagnostic Procedure)
Isolated elevation of propionylcarnitine (C3) (Finding) (Newborn-Screen-Follow-up-Elevated-C3-Isolated),prompts,Glucose test (Diagnostic Procedure)
Isolated elevation of propionylcarnitine (C3) (Finding) (Newborn-Screen-Follow-up-Elevated-C3-Isolated),prompts,Electrolyte measurement (Diagnostic Procedure)
Isolated elevation of propionylcarnitine (C3) (Finding) (Newborn-Screen-Follow-up-Elevated-C3-Isolated),prompts,Complete blood cell count (Diagnostic Procedure)
Isolated elevation of propionylcarnitine (C3) (Finding) (Newborn-Screen-Follow-up-Elevated-C3-Isolated),prompts,Ketone urinalysis (Diagnostic Procedure)
Isolated elevation of propionylcarnitine (C3) (Finding) (Newborn-Screen-Follow-up-Elevated-C3-Isolated),prompts,"Organic acids screen, urine (Diagnostic Procedure)"
Isolated elevation of propionylcarnitine (C3) (Finding) (Newborn-Screen-Follow-up-Elevated-C3-Isolated),prompts,"Amino acids quantitation, plasma (Diagnostic Procedure)"
Isolated elevation of propionylcarnitine (C3) (Finding) (Newborn-Screen-Follow-up-Elevated-C3-Isolated),prompts,"Cobalamin, methionine, and methylmalonic acid pathways assay (Diagnostic Procedure)"
Isolated elevation of propionylcarnitine (C3) (Finding) (Newborn-Screen-Follow-up-Elevated-C3-Isolated),prompts,"Acylcarnitines quantitation, plasma (Diagnostic Procedure)"
Abnormal confirmatory tests (Finding) (Newborn-Screen-Follow-up-Elevated-C3-Isolated),consistent with,Methylmalonyl-CoA mutase deficiency (Disease)
Abnormal confirmatory tests (Finding) (Newborn-Screen-Follow-up-Elevated-C3-Isolated),consistent with,CblA or CblB deficiency (Disease)
Abnormal confirmatory tests (Finding) (Newborn-Screen-Follow-up-Elevated-C3-Isolated),consistent with,"CblC, CblD, CblF, CblJ, CblK, transcobalamin-II receptor, or vitamin B12 deficiency (Disease)"
Abnormal confirmatory tests (Finding) (Newborn-Screen-Follow-up-Elevated-C3-Isolated),consistent with,Propionyl-CoA carboxylase deficiency (Disease)
Abnormal confirmatory tests (Finding) (Newborn-Screen-Follow-up-Elevated-C3-Isolated),consistent with,Succinyl-CoA synthetase deficiency (Disease)
Normal confirmatory tests (Finding) (Newborn-Screen-Follow-up-Elevated-C3-Isolated),indicate,False positive newborn screen (Finding)
Normal confirmatory tests (Finding) (Newborn-Screen-Follow-up-Elevated-C3-Isolated),require,Rule out maternal vitamin B12 deficiency (Disease)
Suspected methylmalonic aciduria-propionic aciduria (Disease) (Newborn-Screen-Follow-up-Elevated-C3-Isolated),prompts,Methylmalonic aciduria-propionic aciduria combined gene panel (Diagnostic Procedure)
Chronic lymphocytic leukemia (Disease or Syndrome) (TP53_Mutation_Testing_Algorithm),requires,"P53CA / Hematologic Neoplasms, TP53 Somatic Mutation, DNA Sequencing (Diagnostic Procedure)"
Lymphoid or hematologic neoplasm other than CLL (Disease or Syndrome) (TP53_Mutation_Testing_Algorithm),requires,"P53CA / Hematologic Neoplasms, TP53 Somatic Mutation, DNA Sequencing (Diagnostic Procedure)"
Bone marrow or frozen tissue specimen (Tissue) (TP53_Mutation_Testing_Algorithm),undergoes,TP53 gene sequencing analysis without flow cytometry or B-cell enrichment (Diagnostic Procedure)
Peripheral blood specimen (Tissue) (TP53_Mutation_Testing_Algorithm),requires,"TP53 Gene Somatic Mutation Pre-Analysis, Cell Sorting (Diagnostic Procedure)"
Clonal B-cell population (Finding) (TP53_Mutation_Testing_Algorithm),prompts,B-cell enrichment prior to TP53 gene sequencing (Diagnostic Procedure)
Absence of clonal B-cell population (Finding) (TP53_Mutation_Testing_Algorithm),cancels,TP53 gene sequencing test (Diagnostic Procedure)
Nonhematologic malignancy (Disease or Syndrome) (TP53_Mutation_Testing_Algorithm),requires,"Genome Panel, Hereditary, Next-Generation Sequencing, Variants (Diagnostic Procedure)"
Suspected germline condition (Disease or Syndrome) (TP53_Mutation_Testing_Algorithm),requires,"Genome Panel, Hereditary, Next-Generation Sequencing, Variants (Diagnostic Procedure)"
Suspected Wilson Disease (Disease or Syndrome) (Wilson_Disease_Testing_Algorithm),indicates,Initial screening tests (Diagnostic Procedure)
Family members of Wilson Disease case (Population Group) (Wilson_Disease_Testing_Algorithm),require,Wilson Disease evaluation (Diagnostic Procedure)
Neurological or psychiatric symptoms ± liver disease (Finding) (Wilson_Disease_Testing_Algorithm),suggests,Wilson Disease evaluation (Diagnostic Procedure)
Unexplained liver disease (Finding) (Wilson_Disease_Testing_Algorithm),suggests,Wilson Disease evaluation (Diagnostic Procedure)
"Normal CP/serum Cu, normal 24-hour urine Cu, normal liver tests, absent K-F ring in age ≥15 (Finding) (Wilson_Disease_Testing_Algorithm)",excludes,Wilson Disease (Disease or Syndrome)
"Normal CP/serum Cu, normal 24-hour urine Cu, normal liver tests, absent K-F ring in age <15 (Finding) (Wilson_Disease_Testing_Algorithm)",requires,ATP7B Full Gene Sequencing (Diagnostic Procedure)
Negative ATP7B variants (Gene or Genome) (Wilson_Disease_Testing_Algorithm),requires,Continued follow-up (Clinical Procedure)
"Normal CP/serum Cu, increased 24-hour urine Cu, present K-F ring (Finding) (Wilson_Disease_Testing_Algorithm)",requires,ATP7B Full Gene Sequencing (Diagnostic Procedure)
Disease-causing ATP7B variants (Gene or Genome) (Wilson_Disease_Testing_Algorithm),confirms,Wilson Disease (Disease or Syndrome)
Two disease-causing ATP7B variants plus consistent histology (Finding) (Wilson_Disease_Testing_Algorithm),confirms,Wilson Disease (Disease or Syndrome)
Absence of ATP7B variants with copper >250 mcg/g and consistent histology (Finding) (Wilson_Disease_Testing_Algorithm),confirms,Wilson Disease (Disease or Syndrome)
Wilson Disease (Disease or Syndrome) (Wilson_Disease_Testing_Algorithm),requires,Pharmacologic treatment (Pharmacologic Substance)
Wilson Disease (Disease or Syndrome) (Wilson_Disease_Testing_Algorithm),requires,Family screening (Diagnostic Procedure)
"Decreased CP/serum Cu, increased 24-hour urine Cu, absent K-F ring (Finding) (Wilson_Disease_Testing_Algorithm)",requires,ATP7B Full Gene Sequencing (Diagnostic Procedure)
Negative ATP7B variants with copper <250 mcg/g and inconsistent histology (Finding) (Wilson_Disease_Testing_Algorithm),requires,Evaluation for alternative diagnosis (Diagnostic Procedure)
"Decreased CP/serum Cu, increased 24-hour urine Cu, present K-F ring (Finding) (Wilson_Disease_Testing_Algorithm)",confirms,Wilson Disease (Disease or Syndrome)
"Normal CP/serum Cu, normal 24-hour urine Cu, absent K-F ring (Finding) (Wilson_Disease_Testing_Algorithm)",requires,Evaluation for alternative diagnosis (Diagnostic Procedure)
Watery diarrhea (Finding) (Parasitic_Investigation_of_Stool_Specimens_Algorithm),indicates need for,Laboratory testing for Infectious Causes of Diarrhea (Diagnostic Procedure)
Travel to developing country (Finding) (Parasitic_Investigation_of_Stool_Specimens_Algorithm),indicates need for,Ova and Parasite exam (Diagnostic Procedure)
Travel history or immunocompromised status (Finding) (Parasitic_Investigation_of_Stool_Specimens_Algorithm),indicates need for,Strongyloides Antibody IgG test (Diagnostic Procedure)
Positive Strongyloides IgG result (Finding) (Parasitic_Investigation_of_Stool_Specimens_Algorithm),results in,No additional parasitologic testing (Procedure)
Negative Strongyloides IgG result (Finding) (Parasitic_Investigation_of_Stool_Specimens_Algorithm),when diarrhea persists,Obtain additional stool specimens (Diagnostic Procedure)
Roundworm or tapeworm segments in stool (Finding) (Parasitic_Investigation_of_Stool_Specimens_Algorithm),indicates need for,Parasitic Identification (Diagnostic Procedure)
Positive Parasitic Identification result (Finding) (Parasitic_Investigation_of_Stool_Specimens_Algorithm),results in,No additional parasitologic testing (Procedure)
Negative Parasitic Identification result (Finding) (Parasitic_Investigation_of_Stool_Specimens_Algorithm),warrants,Evaluation for delusional parasitosis (Disease or Syndrome)
Elevated C4-OH acylcarnitine (Finding) (Newborn-Screen-Follow-up-Elevated-C4-OH-Acylcarnitine),prompts,"Plasma ammonia, blood gas, glucose, electrolytes, CBC, organic acids, insulin, and acylcarnitines testing (Diagnostic Procedure)"
Abnormal confirmatory results (Finding) (Newborn-Screen-Follow-up-Elevated-C4-OH-Acylcarnitine),are consistent with,Short-chain 3-hydroxyacyl-coenzyme A dehydrogenase deficiency (Disease or Syndrome)
Short-chain 3-hydroxyacyl-coenzyme A dehydrogenase deficiency (Disease or Syndrome) (Newborn-Screen-Follow-up-Elevated-C4-OH-Acylcarnitine),indicates need for,Custom gene panel sequencing (Diagnostic Procedure)
Normal confirmatory results (Finding) (Newborn-Screen-Follow-up-Elevated-C4-OH-Acylcarnitine),leads to,No further action (Clinical Behavior)
Suspected mosquito-borne disease (Disease or Syndrome) (Mosquito-borne_Disease_Laboratory_Testing),requires,Tailored laboratory testing (Diagnostic Procedure)
Malaria suspected (Disease or Syndrome) (Mosquito-borne_Disease_Laboratory_Testing),requires,Malaria Laboratory Testing Algorithm (Diagnostic Procedure)
Filarial infection suspected (Disease or Syndrome) (Mosquito-borne_Disease_Laboratory_Testing),requires,"FIL / Filaria, Blood (Diagnostic Procedure)"
"Negative FIL / Filaria, Blood (Finding) (Mosquito-borne_Disease_Laboratory_Testing)",prompts,"FFAG4 / Filaria, IgG4 Antibody, ELISA (Diagnostic Procedure)"
Arbovirus infection suspected (Disease or Syndrome) (Mosquito-borne_Disease_Laboratory_Testing),requires,Real-time RT-PCR and serologic testing if specimen collected ≤7 days after onset (Diagnostic Procedure)
Arbovirus infection suspected (Disease or Syndrome) (Mosquito-borne_Disease_Laboratory_Testing),requires,Serologic testing if specimen collected >7 days after onset (Diagnostic Procedure)
Concurrent serologic testing of spinal fluid and serum (Diagnostic Procedure) (Mosquito-borne_Disease_Laboratory_Testing),is recommended for,Arbovirus infection detection (Disease or Syndrome)
Mosquito exposure within US (Finding) (Mosquito-borne_Disease_Laboratory_Testing),indicates need for,"Arbovirus Antibody Panel, IgG and IgM (Diagnostic Procedure)"
Mosquito exposure outside US (Finding) (Mosquito-borne_Disease_Laboratory_Testing),indicates need for,"Chikungunya, Dengue, or Zika testing (Diagnostic Procedure)"
Mosquito exposure in any region (Finding) (Mosquito-borne_Disease_Laboratory_Testing),indicates need for,West Nile Virus testing (Diagnostic Procedure)
Powassan or Heartland virus suspected (Disease or Syndrome) (Mosquito-borne_Disease_Laboratory_Testing),requires,Acute Tick-Borne Disease Testing Algorithm (Diagnostic Procedure)
Bourbon virus suspected (Disease or Syndrome) (Mosquito-borne_Disease_Laboratory_Testing),requires,Contact local public health department or CDC for testing (Diagnostic Procedure)
Jamestown Canyon virus suspected (Disease or Syndrome) (Mosquito-borne_Disease_Laboratory_Testing),requires,Contact local public health department or CDC for testing (Diagnostic Procedure)
"Normal PT, APTT, and DRVT results (Finding) (Lupus_Anticoagulant_Profile_Testing_Algorithm)",exclude,Lupus anticoagulant (Disease or Syndrome)
Absence of lupus anticoagulant (Disease or Syndrome) (Lupus_Anticoagulant_Profile_Testing_Algorithm),lead to,No further testing (Diagnostic Procedure)
"Prolonged PT, APTT, and DRVT (Finding) (Lupus_Anticoagulant_Profile_Testing_Algorithm)",initiate,Thrombin time measurement (Diagnostic Procedure)
Prolonged PT (Finding) (Lupus_Anticoagulant_Profile_Testing_Algorithm),prompt,PT Mix 1:1 procedure (Diagnostic Procedure)
PT Mix 1:1 remains prolonged (Finding) (Lupus_Anticoagulant_Profile_Testing_Algorithm),indicate,Coagulation inhibitor (Disease or Syndrome)
PT Mix 1:1 corrects (Finding) (Lupus_Anticoagulant_Profile_Testing_Algorithm),indicate,Coagulation factor deficiency (Disease or Syndrome)
Prolonged APTT (Finding) (Lupus_Anticoagulant_Profile_Testing_Algorithm),prompt,APTT Mix 1:1 procedure (Diagnostic Procedure)
APTT Mix 1:1 indicates inhibition (Finding) (Lupus_Anticoagulant_Profile_Testing_Algorithm),prompt,Platelet neutralization procedure (Diagnostic Procedure)
Non-corrected PNP result (Finding) (Lupus_Anticoagulant_Profile_Testing_Algorithm),suggest,Factor inhibitor or lupus anticoagulant (Disease or Syndrome)
Shortened PNP result (Finding) (Lupus_Anticoagulant_Profile_Testing_Algorithm),indicate,Probable lupus anticoagulant (Disease or Syndrome)
Prolonged DRVT (Finding) (Lupus_Anticoagulant_Profile_Testing_Algorithm),prompt,DRVT Mix and DRVT Confirm (Diagnostic Procedure)
Persistently prolonged DRVT Mix and Confirm (Finding) (Lupus_Anticoagulant_Profile_Testing_Algorithm),indicate,Probable lupus anticoagulant (Disease or Syndrome)
Inconsistent DRVT Mix and Confirm results (Finding) (Lupus_Anticoagulant_Profile_Testing_Algorithm),suggest,Coagulation factor deficiency or anticoagulation effect (Disease or Syndrome)
Normal thrombin time (Finding) (Lupus_Anticoagulant_Profile_Testing_Algorithm),exclude,Heparin contamination or hypofibrinogenemia (Disease or Syndrome)
Prolonged thrombin time (Finding) (Lupus_Anticoagulant_Profile_Testing_Algorithm),prompt,Reptilase time (Diagnostic Procedure)
Normal reptilase time (Finding) (Lupus_Anticoagulant_Profile_Testing_Algorithm),indicate,Anticoagulant effect (Disease or Syndrome)
Prolonged reptilase time (Finding) (Lupus_Anticoagulant_Profile_Testing_Algorithm),suggest,Possible dyes or hypofibrinogenemia (Disease or Syndrome)
Sudden unexpected death (Disease or Syndrome) (Postmortem_Screening_Algorithm),Require,Autopsy (Diagnostic Procedure)
Presence of risk factors (Finding) (Postmortem_Screening_Algorithm),Indicate,Contact with Biochemical Genetics Laboratory (Health Care Activity)
Presence of risk factors (Finding) (Postmortem_Screening_Algorithm),Indicate,Postmortem screening with PMSBB (Diagnostic Procedure)
Absence of risk factors (Finding) (Postmortem_Screening_Algorithm),Indicate,Postmortem screening with PMSBB (Diagnostic Procedure)
Postmortem screening with PMSBB (Diagnostic Procedure) (Postmortem_Screening_Algorithm),Obtain,Blood and bile spots on filter paper (Specimen)
Postmortem screening with PMSBB (Diagnostic Procedure) (Postmortem_Screening_Algorithm),Obtain,Urine on filter paper (Specimen)
Postmortem screening test (Diagnostic Procedure) (Postmortem_Screening_Algorithm),Yield,Postmortem screening result (Finding)
Postmortem screening result (Finding) (Postmortem_Screening_Algorithm),Can be,Negative result (Finding)
Postmortem screening result (Finding) (Postmortem_Screening_Algorithm),Can be,Positive result (Finding)
Negative result (Finding) (Postmortem_Screening_Algorithm),Prompt,Postmortem molecular genetic testing (Diagnostic Procedure)
Positive result (Finding) (Postmortem_Screening_Algorithm),Lead to,Report (Finding)
Positive result (Finding) (Postmortem_Screening_Algorithm),Indicate,Genetic consultation (Therapeutic or Preventive Procedure)
Positive result (Finding) (Postmortem_Screening_Algorithm),Indicate,DNA confirmatory testing (Diagnostic Procedure)
Positive result (Finding) (Postmortem_Screening_Algorithm),Indicate,Biochemical genetic testing of asymptomatic relatives (Diagnostic Procedure)
Additional testing request (Health Care Activity) (Postmortem_Screening_Algorithm),Lead to,Revised report including urine test results (Finding)
Infantile onset (Clinical attribute) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),may present with,Increased startle reflex (Finding)
Infantile onset (Clinical attribute) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),may present with,Developmental regression (Finding)
Infantile onset (Clinical attribute) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),may present with,Progressive neurodegeneration (Finding)
Infantile onset (Clinical attribute) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),may present with,Cherry red spot (Finding)
Childhood/Adult onset (Clinical attribute) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),may present with,Motor neuron disease (Disease or Syndrome)
Childhood/Adult onset (Clinical attribute) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),may present with,Behavior changes or psychiatric manifestations (Finding)
Childhood/Adult onset (Clinical attribute) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),may present with,Gait and speech disturbances (Finding)
Childhood/Adult onset (Clinical attribute) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),may present with,Movement disorders (Finding)
Suspected GM2 gangliosidosis (Disease or Syndrome) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),requires,Hexosaminidase A and Total Hexosaminidase Serum test (Diagnostic Procedure)
Hexosaminidase A and Total Hexosaminidase Serum test (Diagnostic Procedure) (Tay_Sachs_and_Related_Disorders_Diagnostic_Testing_Algorithm),is followed by,MUGS test (Diagnostic Procedure)
